ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
192   64   3.466552   32   128   768   8305899   65536
192   64   3.482887   64   128   768   8279366   32768
192   64   3.489831   96   128   768   8260988   21844
192   64   3.504711   128   128   768   8258978   16384
192   64   3.538015   160   128   768   8231700   13104
192   64   3.470312   192   128   768   8366376   10920
192   64   3.478775   224   128   768   8344575   9360
192   64   3.431268   256   128   768   8432815   8192
192   64   3.450578   288   128   768   8508502   7280
192   64   3.453631   320   128   768   8684163   6552
192   63   3.462228   32   224   1230   8319565   65534
192   63   3.502125   64   224   1230   8244200   32767
192   63   3.479662   96   224   1230   8313263   21840
192   63   3.471315   128   224   1230   8340148   16380
192   63   3.485292   160   224   1230   8332994   13104
192   63   3.450017   192   224   1230   8443609   10920
192   63   3.457661   224   224   1230   8441599   9359
192   63   3.451579   256   224   1230   8528637   8190
192   63   3.407383   288   224   1230   8576191   7280
192   63   3.388770   320   224   1230   8701729   6552
192   60   3.423203   32   160   1024   8413390   65535
192   60   3.436640   64   160   1024   8387712   32765
192   60   3.442011   96   160   1024   8379859   21845
192   60   3.457785   128   160   1024   8362057   16380
192   60   3.427718   160   160   1024   8422284   13105
192   60   3.401296   192   160   1024   8521405   10920
192   60   3.431393   224   160   1024   8533395   9360
192   60   3.449734   256   160   1024   8434891   8190
192   60   3.431509   288   160   1024   8512443   7280
192   60   3.437507   320   160   1024   8479275   6550
192   56   3.428942   32   128   769   8396732   65536
192   56   3.417794   64   128   769   8423340   32768
192   56   3.418327   96   128   769   8431548   21844
192   56   3.453196   128   128   769   8359889   16384
192   56   3.466179   160   128   769   8343608   13104
192   56   3.426791   192   128   769   8466218   10920
192   56   3.450600   224   128   769   8392671   9360
192   56   3.411848   256   128   769   8507694   8192
192   56   3.417204   288   128   769   8671982   7280
192   56   3.384851   320   128   769   8747230   6552
192   55   3.399092   32   160   1030   8469088   65535
192   55   3.370636   64   160   1030   8554328   32765
192   55   3.387782   96   160   1030   8537249   21845
192   55   3.366091   128   160   1030   8600679   16380
192   55   3.355614   160   160   1030   8637986   13105
192   55   3.339936   192   160   1030   8715901   10920
192   55   3.344907   224   160   1030   8769720   9360
192   55   3.347453   256   160   1030   8693781   8190
192   55   3.297835   288   160   1030   8838780   7280
192   55   3.325062   320   160   1030   8675776   6550
192   54   3.451393   32   192   1230   8340471   65532
192   54   3.432070   64   192   1230   8405732   32766
192   54   3.458714   96   192   1230   8369009   21840
192   54   3.409869   128   192   1230   8478855   16380
192   54   3.374863   160   192   1230   8565488   13104
192   54   3.383013   192   192   1230   8555403   10920
192   54   3.332422   224   192   1230   8699907   9360
192   54   3.390131   256   192   1230   8571337   8190
192   54   3.368066   288   192   1230   8621015   7278
192   54   3.352023   320   192   1230   8736340   6552
192   52   3.377764   32   128   877   8519182   65536
192   52   3.369483   64   128   877   8549992   32768
192   52   3.382672   96   128   877   8520847   21844
192   52   3.388303   128   128   877   8533395   16384
192   52   3.428226   160   128   877   8550815   13104
192   52   3.376805   192   128   877   8663975   10920
192   52   3.393241   224   128   877   8541013   9360
192   52   3.313365   256   128   877   8718881   8192
192   52   3.366651   288   128   877   8624231   7280
192   52   3.376371   320   128   877   8651473   6552
192   50   3.319153   32   160   1130   8678452   65535
192   50   3.311332   64   160   1130   8699740   32765
192   50   3.316241   96   160   1130   8707671   21845
192   50   3.308414   128   160   1130   8725396   16380
192   50   3.287002   160   160   1130   8788346   13105
192   50   3.274843   192   160   1130   8814249   10920
192   50   3.246672   224   160   1130   8979909   9360
192   50   3.272978   256   160   1130   8879114   8190
192   50   3.202565   288   160   1130   9006066   7280
192   50   3.192276   320   160   1130   9059250   6550
192   49   3.325410   32   224   1540   8660350   65534
192   49   3.344020   64   224   1540   8628607   32767
192   49   3.310288   96   224   1540   8749073   21840
192   49   3.299722   128   224   1540   8763853   16380
192   49   3.269125   160   224   1540   8907922   13104
192   49   3.278341   192   224   1540   8818568   10920
192   49   3.253229   224   224   1540   8928034   9359
192   49   3.294242   256   224   1540   8817677   8190
192   49   3.227478   288   224   1540   9008231   7280
192   49   3.231308   320   224   1540   9043720   6552
192   48   3.336767   32   128   1024   8626670   65536
192   48   3.317194   64   128   1024   8680940   32768
192   48   3.329559   96   128   1024   8656103   21844
192   48   3.354231   128   128   1024   8609970   16384
192   48   3.366301   160   128   1024   8620789   13104
192   48   3.280283   192   128   1024   8826511   10920
192   48   3.329837   224   128   1024   8712179   9360
192   48   3.277166   256   128   1024   8897891   8192
192   48   3.350604   288   128   1024   8630086   7280
192   48   3.321050   320   128   1024   8718342   6552
192   45   3.253986   32   160   1230   8845331   65535
192   45   3.242127   64   160   1230   8886921   32765
192   45   3.236796   96   160   1230   8925914   21845
192   45   3.216505   128   160   1230   8986742   16380
192   45   3.193871   160   160   1230   9023403   13105
192   45   3.147413   192   160   1230   9185099   10920
192   45   3.168115   224   160   1230   9152687   9360
192   45   3.186493   256   160   1230   9074329   8190
192   45   3.117752   288   160   1230   9255024   7280
192   45   3.127401   320   160   1230   9300620   6550
192   44   3.291235   32   128   1030   8745784   65536
192   44   3.279293   64   128   1030   8783900   32768
192   44   3.258559   96   128   1030   8853137   21844
192   44   3.277683   128   128   1030   8845950   16384
192   44   3.271035   160   128   1030   8899497   13104
192   44   3.245851   192   128   1030   8899395   10920
192   44   3.192069   224   128   1030   9104891   9360
192   44   3.234852   256   128   1030   8989740   8192
192   44   3.294432   288   128   1030   8803277   7280
192   44   3.236953   320   128   1030   8944255   6552
192   42   3.336164   32   192   1540   8627280   65532
192   42   3.313082   64   192   1540   8700530   32766
192   42   3.283407   96   192   1540   8858058   21840
192   42   3.263550   128   192   1540   8849497   16380
192   42   3.187909   160   192   1540   9078668   13104
192   42   3.191214   192   192   1540   9103192   10920
192   42   3.205855   224   192   1540   9027339   9360
192   42   3.213336   256   192   1540   9001218   8190
192   42   3.120419   288   192   1540   9357726   7278
192   42   3.131436   320   192   1540   9516751   6552
192   40   3.214543   32   128   1130   8950864   65536
192   40   3.194628   64   128   1130   9016696   32768
192   40   3.204282   96   128   1130   9001699   21844
192   40   3.256334   128   128   1130   8908576   16384
192   40   3.205659   160   128   1130   9039534   13104
192   40   3.129646   192   128   1130   9234043   10920
192   40   3.150070   224   128   1130   9179616   9360
192   40   3.149830   256   128   1130   9176231   8192
192   40   3.184956   288   128   1130   9097107   7280
192   40   3.122308   320   128   1130   9238484   6552
192   39   3.111107   32   96   877   9252425   65535
192   39   3.118812   64   96   877   9235119   32766
192   39   3.145561   96   96   877   9172676   21843
192   39   3.150473   128   96   877   9229411   16383
192   39   3.141626   160   96   877   9361664   13107
192   39   3.078012   192   96   877   9409052   10920
192   39   3.050337   224   96   877   9526304   9360
192   39   3.059106   256   96   877   9467663   8190
192   39   3.071403   288   96   877   9611500   7281
192   39   3.068166   320   96   877   9438483   6552
192   36   3.098219   32   128   1230   9288438   65536
192   36   3.092437   64   128   1230   9310654   32768
192   36   3.095513   96   128   1230   9325991   21844
192   36   3.128753   128   128   1230   9315968   16384
192   36   3.118166   160   128   1230   9290831   13104
192   36   3.069695   192   128   1230   9391101   10920
192   36   3.084477   224   128   1230   9402169   9360
192   36   3.043723   256   128   1230   9765686   8192
192   36   2.993471   288   128   1230   9712059   7280
192   36   3.077205   320   128   1230   9398232   6552
192   35   3.021020   32   160   1540   9524891   65535
192   35   2.998804   64   160   1540   9603580   32765
192   35   3.041787   96   160   1540   9493915   21845
192   35   2.933904   128   160   1540   9858139   16380
192   35   2.929768   160   160   1540   9844123   13105
192   35   2.916661   192   160   1540   10058339   10920
192   35   2.910076   224   160   1540   10194805   9360
192   35   2.904721   256   160   1540   9979382   8190
192   35   2.907644   288   160   1540   9921282   7280
192   35   2.889050   320   160   1540   10151711   6550
192   33   2.828727   32   96   1030   10172744   65535
192   33   2.815916   64   96   1030   10220594   32766
192   33   2.773560   96   96   1030   10389498   21843
192   33   2.816320   128   96   1030   10268811   16383
192   33   2.789749   160   96   1030   10366401   13107
192   33   2.797657   192   96   1030   10300644   10920
192   33   2.782544   224   96   1030   10468492   9360
192   33   2.827144   256   96   1030   10217686   8190
192   33   2.816188   288   96   1030   10248804   7281
192   33   2.753945   320   96   1030   10695961   6552
192   32   2.834446   32   128   1536   10154080   65536
192   32   2.840888   64   128   1536   10230168   32768
192   32   2.839757   96   128   1536   10160258   21844
192   32   2.842894   128   128   1536   10224372   16384
192   32   2.808689   160   128   1536   10356290   13104
192   32   2.820612   192   128   1536   10370799   10920
192   32   2.731408   224   128   1536   10541241   9360
192   32   2.790115   256   128   1536   10514961   8192
192   32   2.780151   288   128   1536   10579775   7280
