ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
64   64   3.256740   32   128   768   9661054   215040
64   64   3.283670   64   128   768   9583753   107520
64   64   3.287872   96   128   768   9570943   71680
64   64   3.290230   128   128   768   9568188   53760
64   64   3.286033   160   128   768   9581764   43008
64   64   3.279058   192   128   768   9605982   35840
64   64   3.223820   224   128   768   9769509   30720
64   64   3.270912   256   128   768   9632212   26880
64   64   3.270185   288   128   768   9640535   23892
64   64   3.272424   320   128   768   9733709   21504
64   63   3.215166   32   224   1230   9785835   215040
64   63   3.284002   64   224   1230   9584883   107520
64   63   3.219153   96   224   1230   9779670   71680
64   63   3.223406   128   224   1230   9766593   53760
64   63   3.175413   160   224   1230   9924754   43008
64   63   3.217406   192   224   1230   9842824   35840
64   63   3.259267   224   224   1230   9702945   30716
64   63   3.253119   256   224   1230   9783068   26880
64   63   3.247891   288   224   1230   9877744   23891
64   63   3.219314   320   224   1230   9801557   21504
64   60   3.168447   32   160   1024   9930199   215040
64   60   3.196027   64   160   1024   9847557   107520
64   60   3.202137   96   160   1024   9832168   71680
64   60   3.198550   128   160   1024   9840583   53760
64   60   3.131789   160   160   1024   10056522   43005
64   60   3.190851   192   160   1024   9876970   35840
64   60   3.143038   224   160   1024   10035580   30720
64   60   3.188312   256   160   1024   9889043   26880
64   60   3.188053   288   160   1024   9905244   23890
64   60   3.225595   320   160   1024   9880220   21500
64   56   3.077347   32   128   769   10224218   215040
64   56   3.104919   64   128   769   10135165   107520
64   56   3.107388   96   128   769   10126962   71680
64   56   3.105714   128   128   769   10135622   53760
64   56   3.099120   160   128   769   10160183   43008
64   56   3.088748   192   128   769   10194327   35840
64   56   3.095796   224   128   769   10174602   30720
64   56   3.097644   256   128   769   10173088   26880
64   56   3.095217   288   128   769   10186237   23892
64   56   3.095252   320   128   769   10188326   21504
64   55   3.031780   32   160   1030   10377384   215040
64   55   3.062384   64   160   1030   10275588   107520
64   55   3.065911   96   160   1030   10265655   71680
64   55   3.063547   128   160   1030   10275017   53760
64   55   3.060726   160   160   1030   10284131   43005
64   55   3.054174   192   160   1030   10315270   35840
64   55   3.051001   224   160   1030   10326077   30720
64   55   3.046404   256   160   1030   10405194   26880
64   55   3.061529   288   160   1030   10469798   23890
64   55   3.065287   320   160   1030   10296665   21500
64   54   3.013206   32   192   1230   10441578   215040
64   54   3.048360   64   192   1230   10325013   107520
64   54   3.045542   96   192   1230   10337545   71676
64   54   2.957109   128   192   1230   10646929   53760
64   54   3.033705   160   192   1230   10379000   43008
64   54   3.016795   192   192   1230   10464279   35838
64   54   3.039077   224   192   1230   10439763   30720
64   54   3.009127   256   192   1230   10559893   26880
64   54   3.010769   288   192   1230   10464556   23892
64   54   3.009182   320   192   1230   10515867   21504
64   52   2.950221   32   128   877   10664053   215040
64   52   2.946301   64   128   877   10680918   107520
64   52   2.983661   96   128   877   10547254   71680
64   52   2.978287   128   128   877   10568162   53760
64   52   2.916531   160   128   877   10788814   43008
64   52   2.955460   192   128   877   10657241   35840
64   52   2.937628   224   128   877   10720270   30720
64   52   2.964468   256   128   877   10635814   26880
64   52   2.968554   288   128   877   10618781   23892
64   52   2.936958   320   128   877   10766760   21504
64   50   2.833277   32   160   1130   11105394   215040
64   50   2.883929   64   160   1130   10911710   107520
64   50   2.939190   96   160   1130   10707725   71680
64   50   2.883643   128   160   1130   10918825   53760
64   50   2.881365   160   160   1130   10929528   43005
64   50   2.877740   192   160   1130   10954177   35840
64   50   2.822811   224   160   1130   11161019   30720
64   50   2.879454   256   160   1130   11062785   26880
64   50   2.866591   288   160   1130   11165245   23890
64   50   2.870430   320   160   1130   11011617   21500
64   49   2.788721   32   224   1540   11283537   215040
64   49   2.835120   64   224   1540   11101667   107520
64   49   2.842306   96   224   1540   11072729   71680
64   49   2.840320   128   224   1540   11085977   53760
64   49   2.847359   160   224   1540   11102253   43008
64   49   2.845551   192   224   1540   11182586   35840
64   49   2.833447   224   224   1540   11144401   30716
64   49   2.815449   256   224   1540   11260806   26880
64   49   2.831905   288   224   1540   11119256   23891
64   49   2.815332   320   224   1540   11260225   21504
64   48   2.792703   32   128   1024   11267210   215040
64   48   2.784906   64   128   1024   11296953   107520
64   48   2.821100   96   128   1024   11157922   71680
64   48   2.818574   128   128   1024   11165020   53760
64   48   2.815686   160   128   1024   11180595   43008
64   48   2.775167   192   128   1024   11348124   35840
64   48   2.758970   224   128   1024   11437062   30720
64   48   2.810688   256   128   1024   11235339   26880
64   48   2.811613   288   128   1024   11203390   23892
64   48   2.830282   320   128   1024   11338266   21504
64   45   2.627213   32   160   1230   11976213   215040
64   45   2.651825   64   160   1230   11866391   107520
64   45   2.656948   96   160   1230   11845862   71680
64   45   2.659048   128   160   1230   11841701   53760
64   45   2.659454   160   160   1230   11838694   43005
64   45   2.655776   192   160   1230   11883275   35840
64   45   2.621169   224   160   1230   12017500   30720
64   45   2.671033   256   160   1230   11880415   26880
64   45   2.627439   288   160   1230   11984614   23890
64   45   2.619417   320   160   1230   12184964   21500
64   44   2.609009   32   128   1030   12058659   215040
64   44   2.573806   64   128   1030   12224904   107520
64   44   2.628367   96   128   1030   11972921   71680
64   44   2.630227   128   128   1030   11968527   53760
64   44   2.629200   160   128   1030   11977446   43008
64   44   2.616427   192   128   1030   12032341   35840
64   44   2.624947   224   128   1030   12014316   30720
64   44   2.622988   256   128   1030   12009409   26880
64   44   2.645552   288   128   1030   11954847   23892
64   44   2.657086   320   128   1030   11908715   21504
64   42   2.447144   32   192   1540   12856829   215040
64   42   2.462620   64   192   1540   12780614   107520
64   42   2.470595   96   192   1540   12742162   71676
64   42   2.442627   128   192   1540   12950072   53760
64   42   2.478711   160   192   1540   12725290   43008
64   42   2.491718   192   192   1540   12713467   35838
64   42   2.395571   224   192   1540   13268065   30720
64   42   2.421487   256   192   1540   13013994   26880
64   42   2.438140   288   192   1540   12913832   23892
64   42   2.477105   320   192   1540   12791373   21504
64   40   2.399887   32   128   1130   13111032   215040
64   40   2.409746   64   128   1130   13058773   107520
64   40   2.412989   96   128   1130   13042268   71680
64   40   2.414068   128   128   1130   13040762   53760
64   40   2.357068   160   128   1130   13368104   43008
64   40   2.406708   192   128   1130   13089440   35840
64   40   2.392496   224   128   1130   13166535   30720
64   40   2.415916   256   128   1130   13081421   26880
64   40   2.434866   288   128   1130   13047544   23892
64   40   2.430734   320   128   1130   13085335   21504
64   39   2.323614   32   96   877   13539440   215040
64   39   2.327871   64   96   877   13517383   107520
64   39   2.311766   96   96   877   13611117   71679
64   39   2.332470   128   96   877   13491606   53760
64   39   2.334506   160   96   877   13483951   43008
64   39   2.331656   192   96   877   13500993   35838
64   39   2.335108   224   96   877   13490111   30720
64   39   2.350156   256   96   877   13502271   26880
64   39   2.354098   288   96   877   13479595   23892
64   39   2.346499   320   96   877   13536453   21504
64   36   2.167564   32   128   1230   14514184   215040
64   36   2.184081   64   128   1230   14406044   107520
64   36   2.186159   96   128   1230   14395276   71680
64   36   2.167824   128   128   1230   14583201   53760
64   36   2.188143   160   128   1230   14389683   43008
64   36   2.161238   192   128   1230   14613051   35840
64   36   2.195129   224   128   1230   14392606   30720
64   36   2.177142   256   128   1230   14519762   26880
64   36   2.206441   288   128   1230   14395137   23892
64   36   2.200996   320   128   1230   14437361   21504
64   35   2.043433   32   160   1540   15396674   215040
64   35   2.077742   64   160   1540   15144263   107520
64   35   2.081186   96   160   1540   15128998   71680
64   35   2.058130   128   160   1540   15337719   53760
64   35   2.102821   160   160   1540   15000990   43005
64   35   2.035508   192   160   1540   15584770   35840
64   35   2.115257   224   160   1540   14988175   30720
64   35   2.112270   256   160   1540   14967769   26880
64   35   2.089125   288   160   1540   15097311   23890
64   35   2.110566   320   160   1540   14950504   21500
64   33   1.978555   32   96   1030   15901142   215040
64   33   1.939742   64   96   1030   16218593   107520
64   33   1.997197   96   96   1030   15756047   71679
64   33   1.998257   128   96   1030   15756283   53760
64   33   1.999217   160   96   1030   15751384   43008
64   33   1.988968   192   96   1030   15855743   35838
64   33   2.011540   224   96   1030   15730994   30720
64   33   2.012410   256   96   1030   15765909   26880
64   33   1.939943   288   96   1030   16242925   23892
64   33   2.011312   320   96   1030   15741522   21504
64   32   1.921119   32   128   1536   16376914   215040
64   32   1.951451   64   128   1536   16125415   107520
64   32   1.955930   96   128   1536   16089330   71680
64   32   1.959097   128   128   1536   16069571   53760
64   32   1.960274   160   128   1536   16066769   43008
64   32   1.944589   192   128   1536   16331003   35840
64   32   1.892015   224   128   1536   16721435   30720
64   32   1.916820   256   128   1536   16465557   26880
64   32   1.909624   288   128   1536   16474018   23892
64   32   1.976191   320   128   1536   15983528   21504
64   30   1.801440   32   96   1130   17464140   215040
64   30   1.814437   64   96   1130   17342587   107520
64   30   1.761781   96   96   1130   17893674   71679
64   30   1.821016   128   96   1130   17296527   53760
64   30   1.822024   160   96   1130   17285316   43008
64   30   1.808254   192   96   1130   17434468   35838
64   30   1.784902   224   96   1130   17784541   30720
64   30   1.834506   256   96   1130   17197953   26880
64   30   1.798586   288   96   1130   17500588   23892
64   30   1.812183   320   96   1130   17538246   21504
64   28   1.676912   32   128   1540   18761124   215040
64   28   1.706177   64   128   1540   18443400   107520
64   28   1.709318   96   128   1540   18416053   71680
64   28   1.662735   128   128   1540   18922557   53760
64   28   1.654445   160   128   1540   19141675   43008
64   28   1.685101   192   128   1540   18725212   35840
64   28   1.655938   224   128   1540   19071000   30720
64   28   1.656495   256   128   1540   19087687   26880
64   28   1.709584   288   128   1540   18405995   23892
64   28   1.695356   320   128   1540   18660186   21504
64   27   1.607791   32   96   1230   19568325   215040
64   27   1.592730   64   96   1230   19759340   107520
64   27   1.623447   96   96   1230   19409882   71679
64   27   1.610977   128   96   1230   19570531   53760
64   27   1.639882   160   96   1230   19193629   43008
64   27   1.619300   192   96   1230   19486866   35838
64   27   1.630253   224   96   1230   19367159   30720
64   27   1.580702   256   96   1230   20063183   26880
64   27   1.644998   288   96   1230   19219979   23892
64   27   1.634056   320   96   1230   19260581   21504
64   26   1.563225   32   64   877   20124868   215040
64   26   1.533273   64   64   877   20556730   107520
64   26   1.551294   96   64   877   20290944   71680
64   26   1.526115   128   64   877   20649206   53760
64   26   1.533028   160   64   877   20605001   43008
64   26   1.571358   192   64   877   20022763   35840
64   26   1.585434   224   64   877   19936496   30720
64   26   1.561029   256   64   877   20160459   26880
64   26   1.532372   288   64   877   20549095   23892
64   26   1.557407   320   64   877   20405759   21504
64   25   1.471713   32   160   2050   21377929   215040
