ALPHA  occ      thr    BS   SMEM   maxLat
   96    2  0.142586   64  12288   201837221
   96    3  0.211689   96  12288   135990568
   96    4  0.280320  128  12288   102709606
   96    5  0.331588  160  12288   86860213
   96    6  0.399671   96   6144   72061277
   96    7  0.458736  224  12288   62822311
   96    8  0.528019  128   6144   54588738
   96    9  0.597704   96   4096   48199046
   96   10  0.661995  160   6144   43547266
   96   11  0.748043   32   1030   38482592
   96   12  0.811608  128   4096   35543591
   96   13  0.893190   32    877   32259541
   96   14  0.920877  224   6144   31327300
   96   15  1.008870  160   4096   28624254
   96   16  1.090120  128   3072   26482312
   96   18  1.238590   96   2048   23335372
   96   20  1.404280  128   2050   20547200
   96   21  1.440030  224   4096   20075974
   96   22  1.559880   64   1030   18496988
   96   24  1.715880  128   2048   16837835
   96   25  1.787710  160   2050   16173328
   96   26  1.877960   64    877   15412648
   96   27  1.930910   96   1230   14968068
   96   28  2.035790  128   1540   14213501
   96   30  2.184990   96   1130   13262242
   96   32  2.333110  128   1536   12408403
   96   33  2.384370   96   1030   12116339
   96   35  2.498610  160   1540   11570384
   96   36  2.558550  128   1230   11310092
   96   39  2.720620   96    877   10649985
   96   40  2.792820  128   1130   10350550
   96   42  2.880140  192   1540   10046084
   96   44  2.978090  128   1030   9700797
   96   45  2.974720  160   1230   9713932
   96   48  3.117190  128   1024   9265777
   96   49  3.106760  224   1540   9331275
   96   50  3.140000  160   1130   9176464
   96   52  3.234300  128    877   8911443
   96   54  3.259150  192   1230   8850217
   96   55  3.263150  160   1030   8860634
   96   56  3.330370  128    769   8662376
   96   60  3.365280  160   1024   8572814
   96   63  3.414910  224   1230   8460439
   96   64  3.443090  128    768   8389642
