ALPHA  maxOcc   arithThr   ITER   BS   SMEM  maxLat   warps
160   64   3.011396   32   128   1536   5589800   65536
160   64   3.018567   64   128   1536   5581682   32768
160   64   3.004905   96   128   1536   5616679   21844
160   64   3.016124   128   128   1536   5619294   16384
160   64   3.010222   160   128   1536   5607736   13104
160   64   3.012927   192   128   1536   5622197   10920
160   64   3.001974   224   128   1536   5658402   9360
160   64   3.002509   256   128   1536   5673894   8192
160   64   3.030588   288   128   1536   5655245   7280
160   64   2.983359   320   128   1536   6029355   6552
160   63   3.008923   32   224   2500   5601838   65534
160   63   3.030829   64   224   2500   5569181   32767
160   63   3.035264   96   224   2500   5579064   21840
160   63   3.030602   128   224   2500   5581463   16380
160   63   3.014660   160   224   2500   5664166   13104
160   63   3.011160   192   224   2500   5710681   10920
160   63   3.038310   224   224   2500   5643824   9359
160   63   3.018480   256   224   2500   5690768   8190
160   63   3.019436   288   224   2500   5717487   7280
160   63   2.976355   320   224   2500   5753404   6552
160   60   2.999364   32   160   2048   5617449   65535
160   60   3.024951   64   160   2048   5569522   32765
160   60   3.036860   96   160   2048   5567120   21845
160   60   3.040972   128   160   2048   5560326   16380
160   60   3.038163   160   160   2048   5550920   13105
160   60   3.024453   192   160   2048   5611409   10920
160   60   2.981238   224   160   2048   5712308   9360
160   60   3.088103   256   160   2048   5516680   8190
160   60   2.986082   288   160   2048   5775250   7280
160   60   3.012971   320   160   2048   5722742   6550
160   58   3.001846   32   64   820   5609444   65536
160   58   3.025132   64   64   820   5563450   32768
160   58   3.025023   96   64   820   5567756   21844
160   58   3.035326   128   64   820   5560563   16384
160   58   3.025506   160   64   820   5586238   13106
160   58   3.021330   192   64   820   5612893   10922
160   58   3.021346   224   64   820   5589759   9362
160   58   3.056821   256   64   820   5606858   8192
160   58   2.996260   288   64   820   5831994   7280
160   58   3.047430   320   64   820   5707258   6552
160   57   3.006355   32   96   1250   5602706   65535
160   57   3.022612   64   96   1250   5578231   32766
160   57   3.033561   96   96   1250   5558667   21843
160   57   3.034266   128   96   1250   5549174   16383
160   57   3.032979   160   96   1250   5573967   13107
160   57   3.036433   192   96   1250   5588907   10920
160   57   3.026261   224   96   1250   5607199   9360
160   57   3.025779   256   96   1250   5636081   8190
160   57   3.018478   288   96   1250   5649961   7281
160   57   2.988791   320   96   1250   5678348   6552
160   56   3.013578   32   128   1700   5590521   65536
160   56   3.032584   64   128   1700   5551945   32768
160   56   3.036166   96   128   1700   5561014   21844
160   56   3.053055   128   128   1700   5547452   16384
160   56   3.036377   160   128   1700   5555261   13104
160   56   3.037174   192   128   1700   5581185   10920
160   56   3.021337   224   128   1700   5592730   9360
160   56   3.043436   256   128   1700   5613366   8192
160   56   3.029527   288   128   1700   5721888   7280
160   56   3.075229   320   128   1700   5597914   6552
160   55   3.004781   32   160   2049   5599201   65535
160   55   3.038601   64   160   2049   5542338   32765
160   55   3.051289   96   160   2049   5543249   21845
160   55   3.053172   128   160   2049   5517757   16380
160   55   3.047213   160   160   2049   5546523   13105
160   55   3.039077   192   160   2049   5610288   10920
160   55   3.035773   224   160   2049   5609884   9360
160   55   3.019321   256   160   2049   5849629   8190
160   55   3.024867   288   160   2049   5728995   7280
160   55   3.021543   320   160   2049   5678088   6550
160   54   3.022499   32   192   2500   5564285   65532
160   54   3.052114   64   192   2500   5511548   32766
160   54   3.063630   96   192   2500   5497378   21840
160   54   3.061631   128   192   2500   5533190   16380
160   54   3.045656   160   192   2500   5541411   13104
160   54   3.032825   192   192   2500   5749964   10920
160   54   3.037728   224   192   2500   5645889   9360
160   54   3.040323   256   192   2500   5613798   8190
160   54   3.087909   288   192   2500   5532468   7278
160   54   3.008262   320   192   2500   5750089   6552
160   52   3.017718   32   128   1800   5578337   65536
160   52   3.041317   64   128   1800   5542029   32768
160   52   3.041760   96   128   1800   5553021   21844
160   52   3.059513   128   128   1800   5511913   16384
160   52   3.048033   160   128   1800   5536099   13104
160   52   3.049263   192   128   1800   5544975   10920
160   52   3.037770   224   128   1800   5620465   9360
160   52   3.005548   256   128   1800   5648939   8192
160   52   3.016898   288   128   1800   5722738   7280
160   52   3.029324   320   128   1800   5878952   6552
160   51   3.004495   32   96   1400   5600241   65535
160   51   3.035706   64   96   1400   5547890   32766
160   51   3.048931   96   96   1400   5523593   21843
160   51   3.049341   128   96   1400   5534743   16383
160   51   3.044564   160   96   1400   5561890   13107
160   51   3.052203   192   96   1400   5536009   10920
160   51   3.039349   224   96   1400   5577247   9360
160   51   3.039622   256   96   1400   5563590   8190
160   51   3.037647   288   96   1400   5575914   7281
160   51   3.032053   320   96   1400   5647155   6552
160   50   2.998363   32   160   2300   5608361   65535
160   50   3.035607   64   160   2300   5550892   32765
160   50   3.049258   96   160   2300   5545884   21845
160   50   3.055982   128   160   2300   5533033   16380
160   50   3.050829   160   160   2300   5543354   13105
160   50   3.037743   192   160   2300   5602394   10920
160   50   3.029019   224   160   2300   5683812   9360
160   50   2.994788   256   160   2300   5949143   8190
160   50   2.988451   288   160   2300   5847696   7280
160   50   3.027065   320   160   2300   5612537   6550
160   49   3.020576   32   224   3073   5573544   65534
160   49   3.044102   64   224   3073   5535390   32767
160   49   3.048212   96   224   3073   5536866   21840
160   49   3.036999   128   224   3073   5561716   16380
160   49   3.033791   160   224   3073   5636162   13104
160   49   3.003009   192   224   3073   5691214   10920
160   49   3.028311   224   224   3073   5643892   9359
160   49   3.000338   256   224   3073   5657313   8190
160   49   3.009232   288   224   3073   5672770   7280
160   49   3.029591   320   224   3073   5568708   6552
160   48   3.051728   32   128   2048   5510748   65536
160   48   3.036852   64   128   2048   5546127   32768
160   48   3.035436   96   128   2048   5540662   21844
160   48   3.055721   128   128   2048   5511203   16384
160   48   3.042867   160   128   2048   5546040   13104
160   48   3.043749   192   128   2048   5572030   10920
160   48   3.028553   224   128   2048   5592408   9360
